start_date;start_time;end_date;end_time;;
8.05.2026;20:30;9.05.2026;08:30;;
10.05.2026;20:30;11.05.2026;08:30;;
12.05.2026;08:30;12.05.2026;20:30;;
14.05.2026;08:30;14.05.2026;20:30;;
16.05.2026;08:30;16.05.2026;20:30;;
18.05.2026;08:30;18.05.2026;20:30;;
20.05.2026;08:30;20.05.2026;20:30;;
22.05.2026;08:30;22.05.2026;20:30;;
24.05.2026;08:30;24.05.2026;20:30;;
26.05.2026;20:30;27.05.2026;08:30;;
29.05.2026;20:30;28.05.2026;08:30;;
30.05.2026;20:30;31.05.2026;08:30;;
01.06.2026;20:30;02.06.2026;08:30;;
03.06.2026;20:30;04.06.2026;08:30;;
05.06.2026;20:30;06.06.2026:08:30;;
07.06.2026;20:30;08.06.2026;08:30;;
09.06.2026;08:30;09.06.2026;20:30;;
11.06.2026;08:30;11.06.2026;20:30;;
13.06.2026;08:30;13.06.2026;20:30;;
15.06.2026;08:30;15.06.2026;20:30;;
17.06.2026;08:30;17.06.2026;20:30;;
19.06.2026;08:30;19.06.2026;20:30;;
21.06.2026;08:30;21.06.2026;20:30;;
23.06.2026;20:30;24.06.2026;08:30;;
25.06.2026;20:30;26.06.2026;08:30;;
27.06.2026;20:30;28.06.2026;08:30;;
